id,purchase_date,customer_id,fuel,vehicle_segment,premium,bodily_injury_liability,personal_injury_protection,property_damage_liability,collision,comprehensive,customer_gender,customer_income_group,cusromer_region,customer_marital_status
12349,1/1/18,404,CNG,A,1110,1,1,1,1,1,Male,$25-$70K,North,1
12353,1/1/18,408,CNG,A,2175,0,0,1,0,1,Male,$25-$70K,North,1
12418,1/1/18,420,CNG,A,1598,0,0,1,0,0,Male,$25-$70K,North,1
12427,1/1/18,420,CNG,A,2442,1,1,0,0,0,Male,$25-$70K,North,0
12366,1/2/18,420,CNG,A,661,0,1,1,0,0,Male,$25-$70K,North,0
12367,1/3/18,420,CNG,A,685,1,1,0,1,0,Male,$25-$70K,North,0
12383,1/3/18,420,CNG,A,1197,0,1,0,1,0,Male,$25-$70K,North,1
12406,1/3/18,420,CNG,A,1906,0,0,1,1,1,Male,$25-$70K,North,0
12430,1/3/18,420,CNG,A,2039,1,0,1,1,0,Male,$25-$70K,North,0
12346,1/4/18,401,CNG,A,1272,1,0,0,0,1,Male,$25-$70K,South,1
840,1/4/18,420,CNG,A,2089,0,1,0,1,0,Male,$25-$70K,North,0
12422,1/4/18,420,CNG,A,1174,1,0,1,1,0,Male,$25-$70K,North,0
12440,1/4/18,420,CNG,A,1915,1,1,1,0,0,Male,$25-$70K,North,0
12372,1/5/18,420,CNG,A,1921,1,1,1,0,1,Male,$25-$70K,North,1
12393,1/5/18,420,CNG,A,1025,1,0,0,0,1,Male,$25-$70K,North,1
12417,1/5/18,420,CNG,A,1837,1,1,1,0,0,Male,$25-$70K,North,0
12443,1/5/18,420,CNG,A,637,0,0,1,1,0,Male,$25-$70K,North,0
12360,1/6/18,415,CNG,A,2102,1,0,0,1,0,Male,$25-$70K,North,0
12391,1/6/18,420,CNG,A,1979,1,1,1,1,1,Male,$25-$70K,North,0
12438,1/6/18,420,CNG,A,1663,1,1,0,1,1,Male,$25-$70K,North,1
12347,1/7/18,402,CNG,A,2150,0,1,1,1,0,Male,>$70K,East,0
12348,1/7/18,403,CNG,A,2123,1,0,1,1,1,Male,$25-$70K,West,1
12364,1/8/18,419,CNG,A,2397,1,1,1,0,0,Male,$25-$70K,North,0
12368,1/8/18,420,CNG,A,1006,1,1,1,1,1,Male,$25-$70K,North,1
